Sr. No,Date of data collection,Time of data collection,pond_id,region,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
9137,03/13/2025,07:18,pond_47f64c85,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.4,8.19,,0.27,,,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,250.0,5000.0,"Catla (Catla catla), Rohu (Labeo rohita)",50.0,,No
9136,03/13/2025,07:10,pond_0b61fd61,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.5,8.25,,0.24,,,27.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,400.0,7333.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
9143,03/13/2025,07:06,pond_c295a799,Eluru,Morning,No,,,Focus group 3,Treatment,Nagaraju P.,"Ammonia checker (Hanna), pH pen #7, Winkler's Method (DO)","Sunny, Cloud cover 25%",3.2,8.01,,0.14,,,28.6,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,Water inflow (only),,0-7 days ago,,300.0,175438.0,Rohu (Labeo rohita),50.0,,No
9142,03/13/2025,07:00,pond_ca25b296,Eluru,Morning,No,,,Focus group 3,Treatment,Nagaraju P.,"Ammonia checker (Hanna), pH pen #7, Winkler's Method (DO)","Sunny, Cloud cover 25%",3.0,7.9,,0.06,,,28.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,600.0,2561.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9132,03/13/2025,06:50,pond_55356fc9,Eluru,Morning,Yes,Yes,,Focus group 4,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,3.8,7.81,,0.14,,,27.9,,,,Dark green,Yes,,,,,,"Yes, all of them",03/11/2025,Stop feeding for 24 hours,,24hrs,,,Yes,,0.0,0.0,0.0,,"Aeration with a motor boat, Reduce feeding by 50%",,0-7 days ago,,400.0,2358.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9123,03/12/2025,17:12,pond_d1de1045,Nellore,Evening,No,,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",7.2,8.36,,,,,29.8,,,,Light green,No,Dissolved Oxygen,Requested during morning measurement,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3448.0,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,,No
9121,03/12/2025,16:37,pond_4fc9a5af,Nellore,Evening,No,,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",10.5,8.29,,,,,30.4,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2907.0,"Catla (Catla catla), Rohu (Labeo rohita)",800.0,,No
9111,03/12/2025,16:36,pond_c5b49325,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.3,8.35,,,,,29.9,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,6600.0,"Catla (Catla catla), Rohu (Labeo rohita)",50.0,,No
9110,03/12/2025,16:25,pond_adeaf27b,Eluru,Evening,No,,,Focus group 4,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,10.6,8.36,,,,,30.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1655.0,"Catla (Catla catla), Rohu (Labeo rohita)",300.0,,No
9109,03/12/2025,16:13,pond_46bbdb3a,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.4,8.39,,,,,30.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,7327.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9131,03/12/2025,16:09,pond_c7407a79,Eluru,Evening,No,,,Focus group 4,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,10.7,8.46,,,,,30.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2542.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9153,03/12/2025,16:00,pond_9252e874,Eluru,Evening,No,,,Focus group 3,Treatment,Nagaraju P.,"pH pen #7, Winkler's Method (DO)",Sunny,11.5,8.48,,,,,32.1,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,5435.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9108,03/12/2025,15:56,pond_21320075,Eluru,Evening,No,,,Focus group 4,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.6,8.4,,,,,30.2,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1554.0,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,This farm is part of the weight-dependent visit test and is receiving measurements every two weeks until the end of the cycle because fishes are bigger than 1kg. ,No
9130,03/12/2025,15:54,pond_2781ed8d,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,10.6,8.39,,,,,30.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,11818.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9129,03/12/2025,15:49,pond_a32076ad,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,9.2,8.44,,,,,31.2,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,13208.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9128,03/12/2025,15:40,pond_b6292420,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,8.5,8.36,,,,,30.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,14286.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9107,03/12/2025,07:39,pond_c5b49325,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,4.8,8.18,,0.15,,,27.7,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,250.0,6600.0,"Catla (Catla catla), Rohu (Labeo rohita)",50.0,,No
9122,03/12/2025,07:29,pond_d1de1045,Nellore,Morning,No,,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",2.4,8.03,,0.11,,,26.7,,,,Light green,No,Dissolved Oxygen,"Aeration for two days, Stop feeding for 24 hours",,,,,,,,,,,,,0.0,0.0,0.0,,,,,,60.0,3448.0,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,feed incresed 10 kg..,No
9106,03/12/2025,07:28,pond_adeaf27b,Eluru,Morning,No,,,Focus group 4,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,4.3,8.15,,0.24,,,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,200.0,1655.0,"Catla (Catla catla), Rohu (Labeo rohita)",300.0,,No
9105,03/12/2025,07:15,pond_46bbdb3a,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.1,8.07,,0.27,,,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,500.0,7327.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9127,03/12/2025,07:14,pond_c7407a79,Eluru,Morning,No,,,Focus group 4,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,3.7,8.02,,0.24,,,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1200.0,2542.0,"Catla (Catla catla), Rohu (Labeo rohita)",550.0,,No
9104,03/12/2025,07:02,pond_21320075,Eluru,Morning,No,,,Focus group 4,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.7,8.17,,0.4,,,27.2,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,Water inflow (only),,0-7 days ago,,1650.0,1554.0,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,This farm is part of the weight-dependent visit test and is receiving measurements every two weeks until the end of the cycle because fishes are bigger than 1kg. ,No
9126,03/12/2025,06:56,pond_2781ed8d,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,3.5,7.96,,0.09,,,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,100.0,11818.0,"Catla (Catla catla), Rohu (Labeo rohita)",80.0,,No
9125,03/12/2025,06:45,pond_a32076ad,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,4.1,8.06,,0.21,,,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,350.0,13208.0,"Catla (Catla catla), Rohu (Labeo rohita)",90.0,,No
9152,03/12/2025,06:38,pond_9252e874,Eluru,Morning,No,,,Focus group 3,Treatment,Nagaraju P.,"Ammonia checker (Hanna), pH pen #7, Winkler's Method (DO)",Sunny,3.2,7.97,,0.1,,,29.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,500.0,5435.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9120,03/12/2025,06:38,pond_4fc9a5af,Nellore,Morning,No,,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",3.7,7.96,,0.14,,,26.9,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,45.0,2907.0,"Catla (Catla catla), Rohu (Labeo rohita)",800.0,,No
9124,03/12/2025,06:37,pond_b6292420,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,4.6,7.92,,0.19,,,27.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,400.0,14286.0,"Catla (Catla catla), Rohu (Labeo rohita)",80.0,,No
9103,03/11/2025,16:29,pond_e6185c34,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.4,7.97,,,,,29.8,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2444.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9095,03/11/2025,16:19,pond_8902ecd3,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,10.4,8.41,,,,,30.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2409.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9102,03/11/2025,16:18,pond_27785ee9,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.3,7.99,,,,,29.1,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,133333.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9101,03/11/2025,16:10,pond_690fd7d6,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.6,8.02,,,,,29.4,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,11111.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
9094,03/11/2025,16:10,pond_4a880fc8,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,8.5,8.47,,,,,30.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2211.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9093,03/11/2025,16:02,pond_7eadb9bf,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,8.5,8.39,,,,,30.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2857.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9100,03/11/2025,15:57,pond_90dd090b,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.8,8.06,,,,,29.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3055.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9092,03/11/2025,15:56,pond_9644548f,Eluru,Evening,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,8.1,8.42,,,,,30.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2791.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
9099,03/11/2025,07:36,pond_e6185c34,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.4,7.39,,0.15,,,27.6,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1100.0,2444.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9098,03/11/2025,07:26,pond_27785ee9,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.2,7.51,,0.4,,,27.4,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,100.0,133333.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9091,03/11/2025,07:25,pond_8902ecd3,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,4.3,8.04,,0.24,,,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1350.0,2409.0,"Catla (Catla catla), Rohu (Labeo rohita)",650.0,,No
9097,03/11/2025,07:15,pond_690fd7d6,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.7,7.83,,0.21,,,27.3,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,500.0,11111.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
9090,03/11/2025,07:10,pond_4a880fc8,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,4.0,7.67,,0.1,,,27.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1550.0,2211.0,"Catla (Catla catla), Rohu (Labeo rohita)",820.0,,No
9089,03/11/2025,06:58,pond_7eadb9bf,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,3.3,7.94,,0.15,,,27.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1500.0,2857.0,"Catla (Catla catla), Rohu (Labeo rohita)",420.0,,No
9096,03/11/2025,06:50,pond_90dd090b,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.5,7.61,,0.09,,,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1500.0,3055.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9088,03/11/2025,06:50,pond_9644548f,Eluru,Morning,No,,,Focus group new,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,4.3,8.02,,0.04,,,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1250.0,2791.0,"Catla (Catla catla), Rohu (Labeo rohita)",850.0,,No
9119,03/10/2025,16:53,pond_bf58902e,Nellore,Evening,Yes,Yes,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",11.7,8.44,,,,,30.1,,,,Light brown,Yes,,,,,,"Yes, all of them",03/08/2025,"Jaggery, Stop feeding for 24 hours",,5kg per accar,,,,,0.0,24.0,0.0,,,,,,,3198.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,do and ph came back to requried range...,No
9117,03/10/2025,16:35,pond_da9e5287,Nellore,Evening,No,,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",8.5,8.36,,,,,30.4,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2778.0,"Catla (Catla catla), Rohu (Labeo rohita)",750.0,,No
9085,03/10/2025,16:33,pond_518460bf,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.8,8.38,,,,,28.8,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,444.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9084,03/10/2025,16:26,pond_5f07dc7a,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.6,8.4,,,,,28.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,7429.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9087,03/10/2025,16:23,pond_11799705,Eluru,Evening,No,,,Focus group 4,Treatment,Nagaraju P.,"Taiwan #7, Winkler's Method (DO)",Sunny,11.9,8.73,,,,,31.2,,,,Saturated green,No,Ph,Jaggery,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3057.0,"Catla (Catla catla), Rohu (Labeo rohita)",400.0,,No
9115,03/10/2025,16:19,pond_1d648007,Nellore,Evening,No,,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",9.0,8.24,,,,,30.9,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2329.0,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,,No
9083,03/10/2025,16:17,pond_44865e41,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,11.3,8.44,,,,,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,50000.0,"Catla (Catla catla), Rohu (Labeo rohita)",70.0,,No
9082,03/10/2025,16:06,pond_74ea5a99,Eluru,Evening,No,,,Focus group new,Treatment,Ravi,"pH pen #3, Winkler's Method (DO)",Sunny,10.8,8.45,,,,,28.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,7692.0,"Catla (Catla catla), Rohu (Labeo rohita)",450.0,,No
9077,03/10/2025,16:06,pond_55356fc9,Eluru,Evening,Yes,Yes,,Focus group 4,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO)",Sunny,8.5,8.47,,,,,30.4,,,,Dark green,Yes,,,,,,Only some,03/07/2025,Aeration with a motor boat,,1hr in the early morning,,Farmer was not done the stop feeding for 24hrs .Because of he was giving some raw medicines and the  raw medicines was give through the feed only so thats why he cant done the stop feeding .,No,,0.0,0.0,0.0,,,,,,,2358.0,"Catla (Catla catla), Rohu (Labeo rohita)",,Farmer was not done the stop feeding for 24hrs .Because of he was giving some raw medicines and the  raw medicines was give through the feed only so thats why he cant done the stop feeding .,No
9113,03/10/2025,15:58,pond_299152dc,Nellore,Evening,No,,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",9.5,8.03,,,,,30.6,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3333.0,"Catla (Catla catla), Rohu (Labeo rohita)",40.0,,No
9118,03/10/2025,07:58,pond_bf58902e,Nellore,Morning,Yes,Yes,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",4.7,8.31,,0.01,,,27.3,,,,Light green,Yes,,,,,,"Yes, all of them",03/08/2025,"Stop feeding for 24 hours, Jaggery",,5kg per accar,,,Yes,,0.0,18.0,0.0,,Lice medicine,,8-14 days ago,,45.0,3198.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
9081,03/10/2025,07:44,pond_518460bf,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.7,8.21,,0.21,,,26.7,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,250.0,444.0,"Catla (Catla catla), Rohu (Labeo rohita)",500.0,,No
9116,03/10/2025,07:28,pond_da9e5287,Nellore,Morning,No,,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",3.7,8.03,,0.07,,,26.9,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,40.0,2778.0,"Catla (Catla catla), Rohu (Labeo rohita)",750.0,,No
9080,03/10/2025,07:28,pond_5f07dc7a,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.2,8.19,,0.3,,,26.8,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,7429.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
9076,03/10/2025,07:19,pond_55356fc9,Eluru,Morning,Yes,Yes,,Focus group 4,Treatment,Sanjay,"pH pen #2, Winkler's Method (DO), Ammonia checker (Hanna)",Sunny,2.2,7.92,,0.21,,,27.6,,,,Dark green,No,Dissolved Oxygen,Stop feeding for 24 hours,,,,Only some,03/07/2025,Aeration with a motor boat,,1hr in the early morning,,Farmer was not done the stop feeding for 24hrs .Because of he was giving some raw medicines and the  raw medicines was give through the feed only so thats why he cant done the stop feeding .,No,,0.0,0.0,0.0,,Reduce feeding by 50%,,0-7 days ago,,200.0,2358.0,"Catla (Catla catla), Rohu (Labeo rohita)",,Farmer was not done the stop feeding for 24hrs .Because of he was giving some raw medicines and the  raw medicines was give through the feed only so thats why he cant done the stop feeding .,No
9086,03/10/2025,07:10,pond_11799705,Eluru,Morning,No,,,Focus group 4,Treatment,Nagaraju P.,"Ammonia checker (Hanna), pH pen #7, Winkler's Method (DO)","Sunny, Foggy",1.8,8.32,,0.23,,,28.4,,,,Saturated green,No,Dissolved Oxygen,Stop feeding for 24 hours,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,800.0,3057.0,"Catla (Catla catla), Rohu (Labeo rohita)",400.0,,No
9079,03/10/2025,07:10,pond_44865e41,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.1,8.1,,0.12,,,26.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,350.0,50000.0,"Catla (Catla catla), Rohu (Labeo rohita)",70.0,,No
9114,03/10/2025,07:03,pond_1d648007,Nellore,Morning,No,,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",3.5,7.86,,0.19,,,27.4,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,35.0,2329.0,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,feed incresed 5 kg..,No
9078,03/10/2025,06:55,pond_74ea5a99,Eluru,Morning,No,,,Focus group new,Treatment,Ravi,"Ammonia checker (Hanna), pH pen #3, Winkler's Method (DO)",Sunny,3.1,8.04,,0.15,,,26.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,100.0,0.0,0.0,,,,,,1250.0,7692.0,"Catla (Catla catla), Rohu (Labeo rohita)",450.0,,No
9112,03/10/2025,06:43,pond_299152dc,Nellore,Morning,No,,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",4.0,7.78,,0.01,,,26.3,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,10.0,3333.0,"Catla (Catla catla), Rohu (Labeo rohita)",40.0,,No
9075,03/09/2025,16:39,pond_d252b4e3,Nellore,Evening,Yes,Yes,,Focus group 4,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 50%",8.4,7.79,,,,,30.6,,,,Light green,Yes,,,,,,"Yes, all of them",03/07/2025,"Water inflow (only), Aeration for two days, Water probiotics",,10kg,,,Yes,,0.0,0.0,0.0,,,,,,,3788.0,"Catla (Catla catla), Rohu (Labeo rohita)",550.0,do levals came back to requried range,No
9074,03/09/2025,07:14,pond_d252b4e3,Nellore,Morning,Yes,Yes,,Focus group 4,Treatment,Chandu,"Ammonia checker (Hanna), Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 75%, Foggy",3.2,7.63,,0.17,,,27.4,,,,Light green,Yes,,,,,,"Yes, all of them",03/07/2025,"Water inflow (only), Aeration for two days, Water probiotics",,10 kg ,,,Yes,,0.0,0.0,0.0,do levalls came back to requried range..,,,,,30.0,3788.0,"Catla (Catla catla), Rohu (Labeo rohita)",550.0,,No
9073,03/08/2025,16:38,pond_bd0f4fd7,Nellore,Evening,No,,,Focus group 3,Treatment,Chandu,"Winkler's Method (DO), ph pen #5","Sunny, Cloud cover 25%",9.0,8.24,,,,,30.7,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2067.0,"Catla (Catla catla), Rohu (Labeo rohita)",650.0,,No
9061,03/08/2025,16:25,pond_f9218e7b,Eluru,Evening,No,,,Focus group 3,Treatment,Nagaraju P.,"pH pen #7, Winkler's Method (DO)",Sunny,10.4,8.48,,,,,31.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,10.0,0.0,,,,,,,1105.0,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,This farm is part of the weight-dependent visit test and is receiving measurements every two weeks until the end of the cycle because fishes are bigger than 1kg.,No
