Sr. No,Event date,Initial entry,pond_id,region,Pond status,Type,Logged by,Data verification method,Data verified by,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Fish purchases diverted,Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Notes,Lifecycle is updated accordingly on the master doc,Created at
11534,08/27/2025,No,pond_c5b49325,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,7000.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,7000,35000.0,7000.0,35000.0,,,,,0.0,,0,,,,,,,,,,Yes,09/24/2025 06:35
11467,08/27/2025,No,pond_05f65197,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,38517.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,30000.0,10.0,,,,,,,,,38571,135000.0,38517.0,135000.0,,,,,189.0,,0,,,,,,,,,,Yes,09/17/2025 06:51
11292,08/27/2025,No,pond_bd0f4fd7,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2857.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,150.0,,,,,,,,,4286,3000.0,2857.0,2000.0,,,,,1000.0,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 07:04
12146,08/25/2025,No,pond_05d9df8f,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,70000 fishes were sold to grow-out farmers,Yes,11/17/2025 05:46
11526,08/25/2025,No,pond_49ea61c0,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,60000,,0,,,Yes,09/23/2025 07:14
11150,08/25/2025,No,pond_2e0e9d1a,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2787.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,350.0,,,,,,,,,2787,25000.0,2787.0,25000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/29/2025 05:14
11149,08/25/2025,No,pond_ca25b296,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,3201.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,350.0,,,,,,,,,3201,25000.0,3201.0,25000.0,,,,,0.0,,0,,,,,,,,,Farmer mentioned he would do a partial harvest of few fishes when they reach 800 grams.,Yes,08/29/2025 05:11
11291,08/24/2025,No,pond_f569e116,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,3036.0,,Roopchand,10,1000.0,3000.0,300.0,,,,,,,,,3036,8500.0,3036.0,8500.0,,,,,0.0,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:27
11205,08/24/2025,No,pond_f86d5d94,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,3243.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,150.0,,,,,,,,,3243,132000.0,3243.0,132000.0,,,,,0.0,,1,Sun dried the pond bottom and removed the sludge,,,,,,,,Farmer said will transfer some of these fishes to their other grow-out pond after they reach 500-600 grams and continue to grow the remaining fishes till 1 kg.,Yes,09/04/2025 05:06
11154,08/23/2025,No,pond_bee2e7f5,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,11029.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,12000.0,50.0,,,,,,,,,11029,30000.0,11029.0,30000.0,,,,,0.0,,1,"Sun dried the pond bottom, removed sludge and strengthened the dykes",,,,,,,,,Yes,08/29/2025 05:32
11469,08/22/2025,No,pond_e95651d9,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Nursery,166667.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,30.0,100000.0,1.0,,,,,,,,,166667,700000.0,166667.0,700000.0,,,,,0.0,,0,,,,,,,,,,Yes,09/17/2025 07:00
11465,08/22/2025,No,pond_17b6d1f2,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,1383.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,250.0,,,,,,,,,1383,74700.0,1383.0,74700.0,,,,,0.0,,0,,,,,,,,,,Yes,09/17/2025 06:43
11463,08/22/2025,No,pond_a1a3333d,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,1842.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,150.0,,,,,,,,,1842,70000.0,1842.0,70000.0,,,,,0.0,,0,,,,,,,,,,Yes,09/17/2025 06:37
11285,08/21/2025,No,pond_d252b4e3,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,916.0,,,,,,,,,,,,,,,,,,,,,1,Sun dry the pond bottom and remove debris,Planned harvest,2290,,0,,,Yes,09/10/2025 05:49
11518,08/20/2025,No,pond_8fd1554c,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,28571 fishes were sold to other grow out farmer,Yes,09/23/2025 06:13
11688,08/18/2025,No,pond_a0b42194,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,970.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,30000,,0,,,Yes,10/01/2025 03:58
11121,08/15/2025,No,pond_b7082dc1,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Nursery,200000.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,20.0,100000.0,2.0,,,,,,,,,200000,200000.0,200000.0,200000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/24/2025 04:04
11294,08/14/2025,No,pond_c0b647c8,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2973.0,,Roopchand,10,1000.0,3000.0,150.0,,,,,,,,,2973,11000.0,2973.0,11000.0,,,,,0.0,,0,,,,,,,,,,Yes,09/10/2025 07:39
11287,08/14/2025,No,pond_aae69640,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,3044.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,800.0,3750.0,300.0,,,,,,,,,3044,13000.0,3044.0,13000.0,,,,,0.0,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:05
11156,08/13/2025,No,pond_e2db7a6b,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,11667.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,12000.0,30.0,,,,,,,,,11667,35000.0,11667.0,35000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/29/2025 05:42
11087,08/13/2025,No,pond_d8d30ad3,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1400.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,106000,,0,,,Yes,08/22/2025 04:34
11519,08/12/2025,No,pond_0b18540f,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1176.0,,,,,,,,,,,,,,,,,,,,,1,Sun drying the pond bottom and remove sludge,Planned harvest,40000,,0,,,Yes,09/23/2025 06:21
11525,08/11/2025,No,pond_304a9d41,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Rearing,35714.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,100000,,75000 fishes were sold to other farmer,Yes,09/23/2025 07:11
11520,08/11/2025,No,pond_7fd480e0,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,1,Sun drying the pond bottom,Planned harvest,30000,,0,,,Yes,09/23/2025 06:25
11290,08/10/2025,No,pond_4fc9a5af,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,46512.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,30000.0,5.0,,,,,,,,,46512,40000.0,46512.0,40000.0,,,,,0.0,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:22
11160,08/10/2025,No,pond_2855b437,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,9167.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,30.0,,,,,,,,,9167,165000.0,9167.0,165000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/29/2025 05:59
11158,08/10/2025,No,pond_b9aedd06,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,35714.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,80.0,37500.0,30.0,,,,,,,,,35714,100000.0,35714.0,100000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/29/2025 05:50
11120,08/10/2025,No,pond_b7082dc1,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,16000 number of fishes sold to grow out farmers,Yes,08/24/2025 03:59
11090,08/10/2025,No,pond_60e4cad8,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,1905.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,300.0,8500.0,62.0,,,,,,,,,1905,20000.0,1905.0,20000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/22/2025 04:48
11084,08/10/2025,No,pond_0b61fd61,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,1,Sun drying the pond bottom,Planned harvest,,,55000,,,Yes,08/22/2025 04:27
11283,08/09/2025,No,pond_2e1713ae,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1080.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,15200,,0,,,Yes,09/10/2025 05:42
11295,08/06/2025,No,pond_1d249330,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,1286.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,400.0,,,,,,,,,1286,1350.0,1286.0,1350.0,,,,,0.0,,1,Sun dried the pond bottom and removed sludge,,,,,,,,,Yes,09/10/2025 07:49
11089,08/06/2025,No,pond_c5b49325,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,33000,,,Yes,08/22/2025 04:42
11049,08/06/2025,No,pond_35f0d376,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2227.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,316.0,,,,,,,,,2227,98000.0,2227.0,98000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/19/2025 07:29
11517,08/05/2025,No,pond_8bf8a86a,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,28500 fishes were sold to other grow out farmer,Yes,09/23/2025 06:08
11284,08/03/2025,No,pond_373669d6,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,913.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,1370,,0,,,Yes,09/10/2025 05:45
11151,08/03/2025,No,pond_a72a9ad7,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,Sold all 30000 fishes to a grow out farmer,Yes,08/29/2025 05:19
11686,08/01/2025,No,pond_2781ed8d,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,13000 fishes were transferred to a grow out pond,Yes,10/01/2025 03:53
11094,08/01/2025,No,pond_f6d09111,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Nursery,100000.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,100.0,30000.0,5.0,,,,,,,,,100000,150000.0,100000.0,150000.0,,,,,0.0,,1,"Sun dried the pond bottom, removed sludge and added lime",,,,,,,,,Yes,08/22/2025 05:07
11092,08/01/2025,No,pond_27785ee9,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,66667.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,100.0,30000.0,10.0,,,,,,,,,66667,100000.0,66667.0,100000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/22/2025 05:01
11088,08/01/2025,No,pond_46bbdb3a,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,5941.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,300.0,8500.0,50.0,,,,,,,,,5941,60000.0,5941.0,60000.0,,,,,0.0,,1,,,,,,,,,,Yes,08/22/2025 04:40
11086,08/01/2025,No,pond_47f64c85,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,5000.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,300.0,8500.0,50.0,,,,,,,,,5000,50000.0,5000.0,50000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/22/2025 04:32
10976,08/01/2025,No,pond_2e0e9d1a,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,12000,,0,,,Yes,08/07/2025 06:25
10916,08/01/2025,No,pond_44f24b9a,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2844.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,359.0,,,,,,,,,2844,64000.0,2844.0,64000.0,,,,,0.0,,0,,,,,,,,,,,08/04/2025 07:00
10973,07/31/2025,No,pond_348a1d24,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2398.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,350.0,,,,,,,,,2398,110000.0,2398.0,110000.0,,,,,0.0,,0,,,,,,,,,,Yes,08/07/2025 06:08
10919,07/31/2025,No,pond_44865e41,Eluru,Treatment,Partial stocking,Chaitanya,Verbal communication,,Rearing,87857.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,100.0,0.0,10.0,,,,,,,,,87857,615000.0,87857.0,615000.0,,,,,0.0,,0,,,,,,,,,,,08/04/2025 07:18
11466,07/29/2025,No,pond_05f65197,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,80.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,150000 fishes transferred to another breed out pond,Yes,09/17/2025 06:46
11289,07/29/2025,No,pond_d1de1045,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,1970.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,400.0,,,,,,,,,3750,7613.0,1970.0,4000.0,,,,,3613.0,,0,,,,,,,,,,Yes,09/10/2025 06:16
10917,07/29/2025,No,pond_60e4cad8,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,350.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,,,08/04/2025 07:03
10849,07/29/2025,No,pond_a32076ad,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,13208.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,40.0,,,,,,,,,13208,70000.0,13208.0,70000.0,,,,,0.0,,0,,,,,,,,,,,07/30/2025 05:36
10847,07/29/2025,No,pond_b6292420,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,14286.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,40.0,,,,,,,,,14286,60000.0,14286.0,60000.0,,,,,0.0,,0,,,,,,,,,,,07/30/2025 05:32
11288,07/28/2025,No,pond_a2a9984f,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2833.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,250.0,,,,,,,,,2833,10000.0,2833.0,10000.0,,,,,0.0,,1,"Sun dry the pond bottom and remove debris, removed sludge",,,,,,,,,Yes,09/10/2025 06:11
10918,07/28/2025,No,pond_44865e41,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Rearing,17143.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,80.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,120000,,,,08/04/2025 07:07
10899,07/28/2025,No,pond_74ea5a99,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,6667.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,40.0,,,,,,,,,6667,130000.0,6667.0,130000.0,,,,,0.0,,0,,,,,,,,,,,08/01/2025 08:56
11152,07/26/2025,No,pond_868241e3,Eluru,,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,350.0,,,,,,,,,,,,,,,,,,,,,1,Sun drying the pond bottom,Planned harvest,,,0,,,Yes,08/29/2025 05:25
10913,07/26/2025,No,pond_b296eebf,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2078.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,330.0,,,,,,,,,2078,80000.0,2078.0,80000.0,,,,,0.0,,0,,,,,,,,,,,08/04/2025 06:45
11468,07/25/2025,No,pond_e95651d9,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,80.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,280000 fishes are transferred to other breed out ponds,Yes,09/17/2025 06:56
11155,07/25/2025,No,pond_e2db7a6b,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,350.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,Sold 31000 fishes to a grow out farmer. 2000 fishes were lost to predation.,Yes,08/29/2025 05:37
10975,07/25/2025,No,pond_ca25b296,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,8000,,0,,,Yes,08/07/2025 06:22
11157,07/24/2025,No,pond_b9aedd06,Eluru,,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,100.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,Transferred 60000 fishes to their own non ARA ponds,Yes,08/29/2025 05:46
10974,07/24/2025,No,pond_988c1692,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1500.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,60000,,0,,,Yes,08/07/2025 06:13
10972,07/24/2025,No,pond_348a1d24,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1600.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,140000,,0,,,Yes,08/07/2025 06:03
10921,07/24/2025,No,pond_6526e587,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,,,08/04/2025 07:25
10848,07/24/2025,No,pond_a32076ad,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,,,07/30/2025 05:34
10846,07/24/2025,No,pond_b6292420,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,,,07/30/2025 05:26
10845,07/24/2025,No,pond_7eadb9bf,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2857.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,200.0,,,,,,,,,2857,100000.0,2857.0,100000.0,,,,,0.0,,0,,,,,,,,,,,07/30/2025 05:20
10843,07/24/2025,No,pond_9644548f,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2791.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,250.0,,,,,,,,,2791,60000.0,2791.0,60000.0,,,,,0.0,,0,,,,,,,,,,,07/30/2025 05:10
11464,07/23/2025,No,pond_17b6d1f2,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,70000,,0,,,Yes,09/17/2025 06:41
11159,07/23/2025,No,pond_2855b437,Eluru,,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,150.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,Transferred all 130000 fishes to their non ARA ponds,Yes,08/29/2025 05:55
10920,07/22/2025,No,pond_35f0d376,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1800.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,175000,,0,,,,08/04/2025 07:21
10912,07/22/2025,No,pond_b296eebf,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1700.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,110000,,0,,,,08/04/2025 06:41
11153,07/21/2025,No,pond_bee2e7f5,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,350.0,,,,,,,,,,,,,,,,,,,,,1,"Sun dry the pond bottom, remove sludge, strengthen the dykes",Planned harvest,,,0,,Sold 25000 fishes to a grow out farmer,Yes,08/29/2025 05:28
11760,07/20/2025,No,pond_cf980f71,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,156000,,0,,,Yes,10/10/2025 04:43
11085,07/20/2025,No,pond_47f64c85,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,50000,,,Yes,08/22/2025 04:29
10915,07/20/2025,No,pond_f5ca6183,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,200.0,,,,,,,,,,,,,,,,,,,,,1,"Sun drying the pond bottom, removing sludge and strengthening the dykes",Planned harvest,,,0,,,,08/04/2025 06:55
10785,07/20/2025,No,pond_74ea5a99,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,45000,,0,,,,07/23/2025 06:29
11460,07/18/2025,No,pond_d81b6f9f,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,150.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,,,80000 fishes were transferred to their own grow out pond.,Yes,09/17/2025 06:28
11872,07/16/2025,No,pond_c295a799,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,30.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,Farmer sold all the fishes and gave away the lease agreement of this pond to another farmer and moved to another village,Yes,10/16/2025 05:54
11462,07/16/2025,No,pond_a1a3333d,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,78000,,0,,,Yes,09/17/2025 06:34
10789,07/13/2025,No,pond_60dd3196,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,13699.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,50.0,,,,,,,,,13699,50000.0,13699.0,50000.0,,,,,0.0,,0,,,,,,,,,,,07/23/2025 06:53
10784,07/13/2025,No,pond_e6185c34,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2222.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,150.0,,,,,,,,,2222,50000.0,2222.0,50000.0,,,,,0.0,,0,,,,,,,,,,,07/23/2025 06:27
