Sr. No,Date of data collection,Time of data collection,Pond ID,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
12805,03/10/2026,07:43,pond_ee1be8cb,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.4,8.18,,,0.25,0.02,27.7,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2209,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12823,03/10/2026,07:37,pond_7fd480e0,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,8.21,,,0.0,0.0,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Aeration with a motor boat,,0-7 days ago,,600,2546,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12835,03/10/2026,07:36,pond_369dc183,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Foggy,3.0,7.88,,,0.0,0.0,27.6,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,900,2028,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12787,03/09/2026,08:27,pond_bee2e7f5,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), Thermometer #3, pH pen #13, API Ammonia Test Kit",Cloud cover 75%,3.7,8.16,,,0.0,0.0,28.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,150,11029,"Catla (Catla catla), Rohu (Labeo rohita)",200.0,,No
12790,03/09/2026,08:20,pond_16becad9,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Cloud cover 25%,2.1,8.17,,,0.25,0.02,28.6,,,,Dark green,No,Dissolved Oxygen,,,,,,,,,,,,,,0,0,0,,,,,,750,2407,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12786,03/09/2026,08:19,pond_e2db7a6b,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Cloud cover 75%,3.3,8.23,,,0.0,0.0,28.5,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,150,11667,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
12870,03/09/2026,08:15,pond_5e81f369,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Cloud cover 75%,1.6,7.92,,,1.0,0.06,28.3,,,,Dark green,No,"Dissolved Oxygen, Ammonia Nh3",,,,,,,,,,,,,,0,0,0,,,,,,500,2667,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12789,03/09/2026,08:10,pond_166e730f,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Cloud cover 25%,2.3,8.24,,,0.25,0.03,28.6,,,,Dark green,No,Dissolved Oxygen,,,,,,,,,,,,,,0,0,0,,,,,,1500,2192,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12821,03/09/2026,08:00,pond_ac78f7f3,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Cloud cover 75%,1.3,7.95,,,0.5,0.03,28.3,,,,Dark green,No,Dissolved Oxygen,,,,,,,,,,,,,,0,0,20,Fishes air gulped early in the morning and 20 fishes were dead because of low DO. Farmer was applying H2O2 by the team we reached the pond.,"Aeration for two days, Water sanitizers, H2O2",03/08/2026,0-7 days ago,,800,2625,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,,No
12785,03/09/2026,07:58,pond_b7082dc1,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), Thermometer #3, API Ammonia Test Kit, pH pen #13",Cloud cover 75%,3.5,8.18,,,0.0,0.0,28.5,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,50,200000,"Catla (Catla catla), Rohu (Labeo rohita)",30.0,,No
12829,03/09/2026,07:55,pond_e25b2cfc,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,1.9,8.04,,,1.0,0.07,28.6,,,,Dark green,No,"Dissolved Oxygen, Ammonia Nh3","Stop feeding for 24 hours, Yukka-based products",,1 kg/acre,,,,,,,,,,,0,0,0,,"Water sanitizers, Stop feeding for 24 hours",03/02/2026,0-7 days ago,,700,2740,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12788,03/09/2026,07:49,pond_e797c43a,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Cloud cover 25%,1.8,8.19,,,0.0,0.0,28.6,,,,Dark green,No,Dissolved Oxygen,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/02/2026,,,700,2963,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12784,03/09/2026,07:42,pond_bd0e0d33,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, pH pen #13, Thermometer #3",Foggy,3.5,8.34,,,0.0,0.0,28.4,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,121359,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,,No
12783,03/09/2026,07:37,pond_51789df8,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Foggy,3.7,8.21,,,0.0,0.0,28.4,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,300,16000,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12768,03/08/2026,07:35,pond_b3126696,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,7.9,,,0.25,0.01,28.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1150,2721,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12767,03/08/2026,07:25,pond_dc98e449,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.2,7.75,,,0.25,0.01,28.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Minerals,,0-7 days ago,,800,2966,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12756,03/06/2026,08:25,pond_02b8575a,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,8.33,,,0.25,0.03,28.7,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1150,2227,"Catla (Catla catla), Rohu (Labeo rohita)",1300.0,,No
12755,03/06/2026,08:16,pond_21320075,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.4,8.3,,,0.25,0.03,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1350,1846,"Catla (Catla catla), Rohu (Labeo rohita)",1100.0,,No
12746,03/06/2026,08:10,pond_348a1d24,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.7,8.1,,,0.25,0.02,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,2500,2398,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,,No
12754,03/06/2026,08:07,pond_319c1ff7,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.2,,,0.25,0.03,28.5,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,750,1733,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,,No
12765,03/06/2026,08:05,pond_9252e874,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,2.7,8.35,,,0.5,0.07,28.3,,,,Saturated green,No,"Dissolved Oxygen, Ammonia Nh3",,,,,,,,,,,,,,0,0,0,,,,,,300,2717,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,,No
12745,03/06/2026,08:00,pond_f9218e7b,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.8,8.2,,,0.25,0.03,28.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,2486,"Catla (Catla catla), Rohu (Labeo rohita)",1500.0,,No
12753,03/06/2026,07:56,pond_56e8a695,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,8.25,,,0.25,0.03,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1150,2052,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12752,03/06/2026,07:50,pond_35f0d376,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.8,8.35,,,0.25,0.03,28.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,2150,2227,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,,No
12744,03/06/2026,07:50,pond_cf980f71,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.2,7.98,,,0.25,0.02,28.5,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Minerals,,0-7 days ago,,2000,2588,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12727,03/05/2026,08:23,pond_283dc502,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #11",Sunny,3.4,8.03,,,0.25,0.02,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1800,2432,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,,No
12726,03/05/2026,08:15,pond_d8d30ad3,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #11",Sunny,3.7,7.88,,,0.25,0.01,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,750,2129,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12731,03/05/2026,08:06,pond_c8879b29,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.22,,,0.25,0.03,28.5,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1400,2426,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,,No
12725,03/05/2026,08:05,pond_6772b310,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #11",Sunny,3.5,8.2,,,0.25,0.02,28.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,600,3000,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12730,03/05/2026,08:00,pond_9a0003fb,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14, API Ammonia Test Kit",Sunny,3.5,8.16,,,0.25,0.02,28.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1400,2704,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12724,03/05/2026,07:56,pond_cc57546e,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #11",Sunny,3.9,8.18,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/01/2026,0-7 days ago,,850,2635,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,,No
12729,03/05/2026,07:52,pond_ca25b296,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.2,8.04,,,0.25,0.02,28.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,3201,"Catla (Catla catla), Rohu (Labeo rohita)",900.0,,No
12723,03/05/2026,07:48,pond_f5213f43,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, pH pen #11, Thermometer #2",Sunny,4.5,8.07,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/01/2026,0-7 days ago,,750,2609,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,,No
12728,03/05/2026,07:42,pond_2e0e9d1a,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14","Sunny, Foggy",3.1,7.9,,,0.25,0.01,28.1,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Aeration every day,,0-7 days ago,,500,2787,"Catla (Catla catla), Rohu (Labeo rohita)",1100.0,,No
12710,03/04/2026,07:58,pond_4302964d,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,4.1,8.22,,,0.25,0.03,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,35089,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12709,03/04/2026,07:50,pond_a0b42194,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, Winkler's Method (DO), Thermometer #2, pH pen #14",Sunny,3.1,8.14,,,0.0,0.0,28.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,11538,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12718,03/03/2026,08:19,pond_47f64c85,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,4.8,8.36,,,0.0,0.0,28.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,5000,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12716,03/03/2026,08:09,pond_69509b5b,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,4.5,8.18,,,0.0,0.0,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,9000,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12715,03/03/2026,07:56,pond_fb9877ae,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.8,8.26,,,0.0,0.0,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,1941,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,,No
12714,03/03/2026,07:44,pond_0b0963e5,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.3,8.32,,,0.0,0.0,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,400,5357,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,,No
12713,03/03/2026,07:37,pond_27785ee9,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.21,,,0.25,0.03,28.1,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,150,66667,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
12688,03/02/2026,08:21,pond_5f9e292b,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #4, pH pen #11, API Ammonia Test Kit",Sunny,3.2,8.18,,,0.25,0.02,27.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,2729,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,,No
12687,03/02/2026,08:11,pond_917e0459,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,0.8,8.43,,,0.5,0.08,27.7,,,,Saturated green,No,"Dissolved Oxygen, Ammonia Nh3","Zeolite, Stop feeding for 24 hours",,15 kg/acre,,,,,,,,,,,500,10,100,Fish suffering from red disease.,Medicine (other),02/26/2026,0-7 days ago,,800,1515,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,"Pond condition is bad, mortalities are recorded because of red disease. Farmer is giving medicine for red disease and pond has low DO, high pH and Ammonia. To immediately treat ammonia we asked the farmer to stop feeding and add zeolite, for higher pH farmer said he will apply fermented water probiotics.",No
12696,03/02/2026,08:09,pond_a59c9ac7,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14","Sunny, Foggy",3.5,8.01,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,3000,2130,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,,No
12697,03/02/2026,08:00,pond_4e07e1a3,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,4.0,7.95,,,0.25,0.01,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1200,2516,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12686,03/02/2026,07:55,pond_195e5b24,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Foggy,3.0,8.19,,,0.0,0.0,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Lice medicine",02/28/2026,0-7 days ago,,1100,2979,"Rohu (Labeo rohita), Catla (Catla catla)",350.0,,No
12685,03/02/2026,07:48,pond_f1f0953d,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Foggy,3.2,8.18,,,0.0,0.0,27.4,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2268,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,,No
12695,03/02/2026,07:33,pond_05d9df8f,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,8.16,,,0.25,0.02,27.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,300,7368,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12656,02/27/2026,08:19,pond_eb2903bd,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,8.3,,,0.25,0.03,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,900,2927,"Rohu (Labeo rohita), Catla (Catla catla)",550.0,,No
12652,02/27/2026,08:15,pond_55356fc9,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.5,8.21,,,0.0,0.0,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,2358,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12682,02/27/2026,08:08,pond_11799705,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.25,,,0.25,0.03,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,250,2547,"Rohu (Labeo rohita), Catla (Catla catla)",350.0,,No
12653,02/27/2026,08:01,pond_87edd7c9,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.14,,,0.25,0.02,27.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,450,2304,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12655,02/27/2026,07:59,pond_8902ecd3,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.4,8.22,,,0.25,0.03,27.7,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1100,2500,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12654,02/27/2026,07:53,pond_4a880fc8,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.23,,,0.25,0.03,27.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2281,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12651,02/27/2026,07:52,pond_f86d5d94,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.5,8.25,,,0.25,0.03,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,3243,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12681,02/27/2026,07:45,pond_7eadb9bf,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.1,8.33,,,0.0,0.0,27.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1200,2571,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,,No
12649,02/27/2026,07:44,pond_ee1be8cb,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,8.23,,,0.0,0.0,27.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Increase fertilization,,8-14 days ago,,1500,2209,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12650,02/27/2026,07:37,pond_7fd480e0,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.5,8.04,,,0.25,0.02,27.5,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Water exchange (inflow & outflow),02/26/2026,,,600,2546,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12644,02/26/2026,08:26,pond_41a4dead,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,8.23,,,0.25,0.02,26.8,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Water inflow (only),,8-14 days ago,,1150,2398,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12643,02/26/2026,08:20,pond_90dd090b,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.33,,,0.25,0.03,26.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Water inflow (only),,0-7 days ago,,500,2815,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12642,02/26/2026,08:12,pond_80e22f42,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.29,,,0.0,0.0,26.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,Stop feeding for 24 hours,02/26/2026,0-7 days ago,,850,2963,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12641,02/26/2026,08:03,pond_44f24b9a,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.06,,,0.5,0.03,26.8,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,5,,"Lice medicine, Stop feeding for 24 hours",02/22/2026,0-7 days ago,,1100,2844,"Catla (Catla catla), Rohu (Labeo rohita)",1000.0,,No
12779,02/25/2026,08:11,pond_8dd26bbf,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #3, pH pen #13, API Ammonia Test Kit",Sunny,2.4,8.32,,,0.25,0.03,25.7,,,,Dark green,No,Dissolved Oxygen,Aeration for one day,,,,,,,,,,,,,0,0,0,,Aeration every day,,0-7 days ago,,1500,2182,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12620,02/25/2026,08:10,pond_d5629838,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.19,,,0.25,0.02,26.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Stop feeding for 24 hours,02/24/2026,0-7 days ago,,500,2230,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,,No
12622,02/25/2026,08:04,pond_ac78f7f3,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,8.06,,,0.0,0.0,26.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,2625,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,,No
